Price_Date,States,Commodity,Price
14-Aug-19,Delhi,Mango,2944.00
14-Aug-19,Delhi,Mango,2583.00
14-Aug-19,Delhi,Mango,2490.00
14-Aug-19,Delhi,Mango,3000.00
13-Aug-19,Delhi,Mango,2944.00
13-Aug-19,Delhi,Mango,2583.00
13-Aug-19,Delhi,Mango,2490.00
13-Aug-19,Delhi,Mango,3000.00
12-Aug-19,Delhi,Mango,2944.00
12-Aug-19,Delhi,Mango,2583.00
12-Aug-19,Delhi,Mango,2490.00
12-Aug-19,Delhi,Mango,3000.00
11-Aug-19,Delhi,Mango,2944.00
11-Aug-19,Delhi,Mango,2583.00
11-Aug-19,Delhi,Mango,2490.00
11-Aug-19,Delhi,Mango,3000.00
09-Aug-19,Delhi,Mango,2944.00
09-Aug-19,Delhi,Mango,2583.00
09-Aug-19,Delhi,Mango,2490.00
09-Aug-19,Delhi,Mango,3000.00
08-Aug-19,Delhi,Mango,2944.00
08-Aug-19,Delhi,Mango,2583.00
08-Aug-19,Delhi,Mango,2360.00
08-Aug-19,Delhi,Mango,3000.00
07-Aug-19,Delhi,Mango,2944.00
07-Aug-19,Delhi,Mango,2540.00
07-Aug-19,Delhi,Mango,2583.00
07-Aug-19,Delhi,Mango,2360.00
07-Aug-19,Delhi,Mango,3250.00
06-Aug-19,Delhi,Mango,2944.00
06-Aug-19,Delhi,Mango,2540.00
06-Aug-19,Delhi,Mango,2583.00
06-Aug-19,Delhi,Mango,2360.00
06-Aug-19,Delhi,Mango,3250.00
05-Aug-19,Delhi,Mango,2944.00
05-Aug-19,Delhi,Mango,2540.00
05-Aug-19,Delhi,Mango,2583.00
05-Aug-19,Delhi,Mango,2360.00
05-Aug-19,Delhi,Mango,3250.00
03-Aug-19,Delhi,Mango,2944.00
03-Aug-19,Delhi,Mango,2540.00
03-Aug-19,Delhi,Mango,2583.00
03-Aug-19,Delhi,Mango,2360.00
03-Aug-19,Delhi,Mango,3250.00
02-Aug-19,Delhi,Mango,2944.00
02-Aug-19,Delhi,Mango,2540.00
02-Aug-19,Delhi,Mango,2583.00
02-Aug-19,Delhi,Mango,2360.00
01-Aug-19,Delhi,Mango,2944.00
01-Aug-19,Delhi,Mango,2540.00
01-Aug-19,Delhi,Mango,2583.00
01-Aug-19,Delhi,Mango,2360.00
31-Jul-19,Delhi,Mango,2944.00
31-Jul-19,Delhi,Mango,2540.00
31-Jul-19,Delhi,Mango,2583.00
31-Jul-19,Delhi,Mango,2360.00
30-Jul-19,Delhi,Mango,2944.00
30-Jul-19,Delhi,Mango,2540.00
30-Jul-19,Delhi,Mango,2583.00
30-Jul-19,Delhi,Mango,2360.00
29-Jul-19,Delhi,Mango,2944.00
29-Jul-19,Delhi,Mango,2540.00
29-Jul-19,Delhi,Mango,2583.00
29-Jul-19,Delhi,Mango,2360.00
26-Jul-19,Delhi,Mango,2944.00
26-Jul-19,Delhi,Mango,2540.00
26-Jul-19,Delhi,Mango,2583.00
26-Jul-19,Delhi,Mango,2360.00
25-Jul-19,Delhi,Mango,2944.00
25-Jul-19,Delhi,Mango,2540.00
25-Jul-19,Delhi,Mango,2583.00
25-Jul-19,Delhi,Mango,2360.00
24-Jul-19,Delhi,Mango,2944.00
24-Jul-19,Delhi,Mango,2540.00
24-Jul-19,Delhi,Mango,2583.00
24-Jul-19,Delhi,Mango,2360.00
23-Jul-19,Delhi,Mango,2944.00
23-Jul-19,Delhi,Mango,2540.00
23-Jul-19,Delhi,Mango,2583.00
23-Jul-19,Delhi,Mango,2360.00
22-Jul-19,Delhi,Mango,2944.00
22-Jul-19,Delhi,Mango,2460.00
22-Jul-19,Delhi,Mango,2583.00
22-Jul-19,Delhi,Mango,2360.00
20-Jul-19,Delhi,Mango,2944.00
20-Jul-19,Delhi,Mango,2460.00
20-Jul-19,Delhi,Mango,2583.00
20-Jul-19,Delhi,Mango,2360.00
19-Jul-19,Delhi,Mango,2560.00
19-Jul-19,Delhi,Mango,2583.00
18-Jul-19,Delhi,Mango,2944.00
18-Jul-19,Delhi,Mango,2560.00
18-Jul-19,Delhi,Mango,2583.00
18-Jul-19,Delhi,Mango,2360.00
17-Jul-19,Delhi,Mango,2944.00
17-Jul-19,Delhi,Mango,2560.00
17-Jul-19,Delhi,Mango,2583.00
17-Jul-19,Delhi,Mango,2360.00
16-Jul-19,Delhi,Mango,2944.00
16-Jul-19,Delhi,Mango,2092.00
16-Jul-19,Delhi,Mango,2583.00
16-Jul-19,Delhi,Mango,2010.00
15-Jul-19,Delhi,Mango,2944.00
15-Jul-19,Delhi,Mango,1725.00
15-Jul-19,Delhi,Mango,2583.00
15-Jul-19,Delhi,Mango,1890.00
13-Jul-19,Delhi,Mango,2978.00
13-Jul-19,Delhi,Mango,1850.00
12-Jul-19,Delhi,Mango,2978.00
12-Jul-19,Delhi,Mango,1850.00
11-Jul-19,Delhi,Mango,5889.00
11-Jul-19,Delhi,Mango,3156.00
11-Jul-19,Delhi,Mango,1850.00
10-Jul-19,Delhi,Mango,5889.00
10-Jul-19,Delhi,Mango,3156.00
10-Jul-19,Delhi,Mango,1850.00
09-Jul-19,Delhi,Mango,5889.00
09-Jul-19,Delhi,Mango,3156.00
09-Jul-19,Delhi,Mango,1850.00
08-Jul-19,Delhi,Mango,5889.00
08-Jul-19,Delhi,Mango,3156.00
08-Jul-19,Delhi,Mango,1750.00
08-Jul-19,Delhi,Mango,1850.00
06-Jul-19,Delhi,Mango,5889.00
06-Jul-19,Delhi,Mango,3156.00
06-Jul-19,Delhi,Mango,1750.00
06-Jul-19,Delhi,Mango,1850.00
05-Jul-19,Delhi,Mango,6000.00
05-Jul-19,Delhi,Mango,3156.00
05-Jul-19,Delhi,Mango,1750.00
05-Jul-19,Delhi,Mango,1850.00
04-Jul-19,Delhi,Mango,6000.00
04-Jul-19,Delhi,Mango,2867.00
04-Jul-19,Delhi,Mango,1825.00
03-Jul-19,Delhi,Mango,5500.00
03-Jul-19,Delhi,Mango,2867.00
03-Jul-19,Delhi,Mango,3000.00
03-Jul-19,Delhi,Mango,2000.00
02-Jul-19,Delhi,Mango,5500.00
02-Jul-19,Delhi,Mango,2811.00
02-Jul-19,Delhi,Mango,2800.00
02-Jul-19,Delhi,Mango,2000.00
01-Jul-19,Delhi,Mango,5167.00
01-Jul-19,Delhi,Mango,2811.00
01-Jul-19,Delhi,Mango,2800.00
01-Jul-19,Delhi,Mango,2000.00
29-Jun-19,Delhi,Mango,4056.00
29-Jun-19,Delhi,Mango,2767.00
29-Jun-19,Delhi,Mango,2563.00
